tariff.plan,payment.method,sex,age,activation.zone,activation.channel,vas1,vas2,q01.out.ch.peak,q01.out.dur.peak,q01.out.val.peak,q01.out.ch.offpeak,q01.out.dur.offpeak,q01.out.val.offpeak,q01.in.ch.tot,q01.in.dur.tot,q01.ch.sms,q01.ch.cc,q02.out.ch.peak,q02.out.dur.peak,q02.out.val.peak,q02.out.ch.offpeak,q02.out.dur.offpeak,q02.out.val.offpeak,q02.in.ch.tot,q02.in.dur.tot,q02.ch.sms,q02.ch.cc,q03.out.ch.peak,q03.out.dur.peak,q03.out.val.peak,q03.out.ch.offpeak,q03.out.dur.offpeak,q03.out.val.offpeak,q03.in.ch.tot,q03.in.dur.tot,q03.ch.sms,q03.ch.cc,q04.out.ch.peak,q04.out.dur.peak,q04.out.val.peak,q04.out.ch.offpeak,q04.out.dur.offpeak,q04.out.val.offpeak,q04.in.ch.tot,q04.in.dur.tot,q04.ch.sms,q04.ch.cc,q05.out.ch.peak,q05.out.dur.peak,q05.out.val.peak,q05.out.ch.offpeak,q05.out.dur.offpeak,q05.out.val.offpeak,q05.in.ch.tot,q05.in.dur.tot,q05.ch.sms,q05.ch.cc,q06.out.ch.peak,q06.out.dur.peak,q06.out.val.peak,q06.out.ch.offpeak,q06.out.dur.offpeak,q06.out.val.offpeak,q06.in.ch.tot,q06.in.dur.tot,q06.ch.sms,q06.ch.cc,q07.out.ch.peak,q07.out.dur.peak,q07.out.val.peak,q07.out.ch.offpeak,q07.out.dur.offpeak,q07.out.val.offpeak,q07.in.ch.tot,q07.in.dur.tot,q07.ch.sms,q07.ch.cc,q08.out.ch.peak,q08.out.dur.peak,q08.out.val.peak,q08.out.ch.offpeak,q08.out.dur.offpeak,q08.out.val.offpeak,q08.in.ch.tot,q08.in.dur.tot,q08.ch.sms,q08.ch.cc,q09.out.ch.peak,q09.out.dur.peak,q09.out.val.peak,q09.out.ch.offpeak,q09.out.dur.offpeak,q09.out.val.offpeak,q09.in.ch.tot,q09.in.dur.tot,q09.ch.sms,q09.ch.cc,y
6,Carta di Credito,M,34.29,3,5,N,N,82,6390,30.1879,0,0,0,57,4154,6,0,70,6607,29.6808,0,0,0,67,5863,0,0,107,9017,41.6961,0,0,0,78,8376,0,0,156,14056,63.8821,0,0,0,86,18745,0,0,122,9785,45.8531,0,0,0,117,15244,0,0,84,6860,31.9899,0,0,0,93,10757,0,0,75,8146,35.432,0,0,0,90,9168,1,0,70,9196,38.3769,0,0,0,69,7753,2,0,77,6786,31.0132,0,0,0,65,8224,0,0,253
8,Carta di Credito,M,22.78,2,9,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2235,16.099,0,0,0,54,1920,3,0,44,2416,16.8184,0,0,0,42,1793,8,0,37,3830,23.442,0,0,0,62,1554,1,0,81,10817,63.6812,0,0,0,99,4549,0,0,23,2055,12.9032,0,0,0,27,593,2,0,16,841,5.9625,0,0,0,32,1154,1,0,88
7,Carta di Credito,B,26.95,3,5,Y,N,244,57651,220.1713,0,0,0,213,16351,0,2,392,85933,332.0048,0,0,0,262,33707,2,4,426,86573,332.7124,0,0,0,263,35590,7,10,280,62654,237.8697,0,0,0,115,11544,0,1,344,68750,245.8149,0,0,0,211,20049,0,0,301,65188,221.1856,0,0,0,125,10752,0,1,326,62042,231.4543,0,0,0,202,17145,1,0,131,23988,86.0154,0,0,0,52,3072,2,0,343,72632,252.4844,0,0,0,86,13972,0,4,6068
6,Domiciliazione Bancaria,B,46.09,2,5,Y,N,331,25233,119.833,0,0,0,555,41517,0,5,303,27677,125.3498,0,0,0,555,45459,0,1,248,17361,79.9093,0,0,0,499,53633,0,7,233,20339,85.8847,0,0,0,430,43842,0,3,257,20309,91.6246,0,0,0,440,37487,0,6,224,19089,84.9308,0,0,0,491,39183,0,5,223,22734,97.9099,0,0,0,503,39850,0,2,167,13957,62.1654,0,0,0,241,21104,0,0,261,26602,113.8906,0,0,0,410,51426,0,0,1556
8,Bollettino Postale,M,23.77,2,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carta di Credito,B,22.03,2,5,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,15526,68.8143,0,0,0,192,8742,0,1,259,19999,126.33,0,0,0,201,5861,2,0,60,5189,20.4966,0,0,0,40,3280,0,0,279,21359,91.9805,0,0,0,301,18050,0,0,351
8,Carta di Credito,M,34.22,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,16794,107.5268,0,0,0,132,13333,0,0,642
8,Carta di Credito,F,24.75,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Carta di Credito,F,32.88,1,5,N,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,8435,50.5482,0,0,0,19,716,0,0,20,906,6.7077,0,0,0,12,863,0,0,4,568,3.3234,0,0,0,141,2673,0,0,1,6,0.1343,0,0,0,24,476,0,0,0,0,0,0,0,0,12,995,0,0,1,8,0.1441,0,0,0,6,258,0,0,0
3,Carta di Credito,B,51.93,1,5,N,N,21,481,3.1483,0,0,0,33,866,0,0,28,4023,17.3158,0,0,0,69,2345,0,1,18,1957,8.7891,9,1164,2.3612,43,3111,0,0,31,3080,22.4018,6,294,0.8527,22,1556,0,0,33,2317,10.8879,2,25,0.1312,12,1077,0,0,17,1331,7.674,1,2,0.0656,33,3003,0,1,27,3037,14.7578,11,1314,3.0171,24,3207,0,0,51,11126,53.1935,34,6560,14.8889,51,13700,0,1,19,1122,4.7881,3,35,0.1968,48,3428,1,1,1586
